,Prediction,Actual,Correct?,Open,Close,Diff,Profit/M
2015-03-13,Down,Up,False,19119.58008,19254.25,0.007043560550834105,-14612.12110166821
2015-03-14,Same,Up,False,,,,
2015-03-15,Same,Up,False,,,,
2015-03-16,Same,Same,True,19245.38086,19246.06055,3.5317045941729575e-05,0.0
2015-03-17,Up,Same,False,19425.89063,19437.0,0.0005718847187805576,618.7694375611152
2015-03-18,Up,Up,True,19407.75977,19544.48047,0.007044640990009343,13564.281980018686
2015-03-19,Down,Same,False,19514.64063,19476.56055,-0.0019513595316463794,3377.719063292759
2015-03-20,Same,Up,False,19479.71094,19560.2207,0.004133005887406727,0.0
2015-03-21,Same,Up,False,,,,
2015-03-22,Same,Up,False,,,,
2015-03-23,Same,Up,False,19479.71094,19560.2207,0.004133005887406727,0.0
2015-03-24,Up,Same,False,19718.99023,19713.44922,-0.00028099866856112765,-1086.9973371222554
2015-03-25,Same,Same,True,19745.75,19746.19922,2.2750212070876685e-05,0.0
2015-03-26,Down,Down,True,19605.59961,19471.11914,-0.006859288809071162,13193.577618142324
2015-03-27,Down,Down,True,19374.7207,19285.63086,-0.004598251576344081,8671.503152688163
2015-03-28,Up,Down,False,,,,
2015-03-29,Up,Down,False,,,,
2015-03-30,Up,Up,True,19295.21094,19411.40039,0.006021672961300961,11518.345922601922
2015-03-31,Same,Down,False,19592.42969,19206.99023,-0.019672877029474845,-0.0
2015-04-01,Down,Down,True,19129.75,19034.83984,-0.0049613905043192075,9397.781008638414
2015-04-02,Same,Up,False,19141.92969,19312.78906,0.008925921929869851,0.0
2015-04-03,Down,Up,False,19289.03906,19435.08008,0.007571192092344692,-15667.384184689383
2015-04-04,Down,Up,False,,,,
2015-04-05,Down,Up,False,,,,
2015-04-06,Down,Up,False,19295.0293,19397.98047,0.005335631700751131,-11196.263401502263
2015-04-07,Same,Up,False,19539.0293,19640.53906,0.005195230450880217,0.0
2015-04-08,Same,Up,False,19729.69922,19789.81055,0.0030467433552694434,0.0
2015-04-09,Same,Up,False,19851.11914,19937.7207,0.00436255303236277,0.0
2015-04-10,Down,Down,True,19989.55078,19907.63086,-0.0040981371168161695,7671.274233632339
2015-04-11,Down,Down,True,,,,
2015-04-12,Down,Down,True,,,,
2015-04-13,Down,Down,True,19967.38086,19905.46094,-0.0031010536852152937,5677.107370430587
2015-04-14,Down,Up,False,19828.65039,19908.67969,0.004036043725919036,-8597.087451838073
2015-04-15,Down,Same,False,19838.5293,19869.75977,0.001574233126242941,-3673.466252485882
2015-04-16,Same,Same,True,19862.48047,19885.76953,0.0011725151868708927,0.0
2015-04-17,Up,Down,False,19810.40039,19652.88086,-0.007951355192170273,-16427.710384340546
2015-04-18,Down,Down,True,,,,
2015-04-19,Down,Down,True,,,,
2015-04-20,Down,Up,False,19501.0,19634.49023,0.006845301779395907,-14215.603558791814
2015-04-21,Up,Up,True,19731.57031,19909.08984,0.008996725917451931,17468.451834903863
2015-04-22,Up,Up,True,19999.83984,20133.90039,0.006703081178274006,12881.162356548013
2015-04-23,Same,Same,True,20227.2793,20187.65039,-0.0019591814307917677,-0.0
2015-04-24,Down,Down,True,20142.4707,20020.03906,-0.006078283137331386,11631.566274662773
2015-04-25,Same,Down,False,,,,
2015-04-26,Same,Down,False,,,,
2015-04-27,Same,Down,False,20063.80078,19983.32031,-0.00401122752774874,-0.0
2015-04-28,Same,Same,True,20068.65039,20058.94922,-0.0004833992227416539,-0.0
2015-04-29,Up,Same,False,,,,
2015-04-30,Up,Down,False,19847.5,19520.00977,-0.016500326489482298,-33525.652978964594
2015-05-01,Down,Same,False,19510.84961,19531.63086,0.0010651125099825354,-2655.2250199650707
2015-05-02,Down,Same,False,,,,
2015-05-03,Down,Same,False,,,,
2015-05-04,Down,Same,False,,,,
2015-05-05,Down,Same,False,19510.84961,19531.63086,0.0010651125099825354,-2655.2250199650707
2015-05-06,Up,Same,False,19510.84961,19531.63086,0.0010651125099825354,1605.2250199650707
